XDAC V1.4 Datafile V1
"MMCBr1_100.002" created on 11/18/2012 at 9:48:15 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 13474.00
NUM_REGIONS= 6
SRB= -100 -30 -15 10 30 50 200
SRSS= 5 .5 .25 .5 1 5
SPP= 1 1 1 1 1 1
Settling time= 0.20


Offsets= 110.75 66.00 0.00 0.00 0.00 0.00 0.00 9.50 6.00 15.00 0.00 12.75 5.75 12.25 88.75 0.00
Gains= 8.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.00 1.00
oaks + Fe + Br- + H2O2 rinsed a lot


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
   13463.74859    24572.2500    11526.0000     3419.0000    38452.0000     3797.0000     3845.0000   155194.0000   192501.5000   189243.0000   182312.0000   191517.0000   214039.2500   208159.2500   202385.7500    16547.2500        1.0000
   13464.00155    24460.2500    11474.0000     3425.0000    38453.0000     3721.0000     3712.0000   154302.0000   191737.5000   188476.0000   181770.0000   190759.0000   213330.2500   207178.2500   201609.7500    16466.2500        1.0000
   13464.24786    24500.2500    11494.0000     3437.0000    38156.0000     3745.0000     3763.0000   155158.0000   192099.5000   188941.0000   182075.0000   191447.0000   213674.2500   207684.2500   202010.7500    16489.2500        1.0000
   13464.50082    24565.2500    11526.0000     3428.0000    38508.0000     3789.0000     3849.0000   154753.0000   192410.5000   188941.0000   182588.0000   191472.0000   213680.2500   207581.2500   202585.7500    16525.2500        1.0000
   13464.74713    24565.2500    11526.0000     3456.0000    38371.0000     3865.0000     3848.0000   154476.0000   192272.5000   189211.0000   182111.0000   191327.0000   213874.2500   208024.2500   202121.7500    16517.2500        1.0000
   13465.00010    24579.2500    11533.0000     3505.0000    38735.0000     3864.0000     3864.0000   155078.0000   192843.5000   189861.0000   182655.0000   191762.0000   214526.2500   208774.2500   202511.7500    16512.2500        1.0000
   13465.25307    24569.2500    11529.0000     3550.0000    38691.0000     3989.0000     3988.0000   155430.0000   193307.5000   189612.0000   182949.0000   191848.0000   214902.2500   208660.2500   203178.7500    16499.2500        1.0000
   13465.49938    24565.2500    11527.0000     3595.0000    38364.0000     3924.0000     3903.0000   155496.0000   191896.5000   189127.0000   183147.0000   192176.0000   213400.2500   207914.2500   203100.7500    16487.2500        1.0000
   13465.75235    24553.2500    11525.0000     3481.0000    38645.0000     4030.0000     3975.0000   155158.0000   192208.5000   189118.0000   182385.0000   191609.0000   213938.2500   208107.2500   202396.7500    16474.2500        1.0000
   13465.99867    24522.2500    11512.0000     3625.0000    38475.0000     3897.0000     4123.0000   155883.0000   192082.5000   188510.0000   182395.0000   192375.0000   213617.2500   207448.2500   202132.7500    16437.2500        1.0000
   13466.25164    24492.2500    11498.0000     3686.0000    38762.0000     4144.0000     4050.0000   155550.0000   192452.5000   188323.0000   182790.0000   192258.0000   214225.2500   207100.2500   202714.7500    16404.2500        1.0000
   13466.49796    24486.2500    11495.0000     3651.0000    38867.0000     4224.0000     4109.0000   154967.0000   192781.5000   188465.0000   182825.0000   190992.0000   214702.2500   207141.2500   202801.7500    16380.2500        1.0000
   13466.75093    24435.2500    11471.0000     3660.0000    38515.0000     4202.0000     4124.0000   154954.0000   192437.5000   188603.0000   182313.0000   191166.0000   213865.2500   207526.2500   202585.7500    16326.2500        1.0000
   13466.99725    24438.2500    11471.0000     3795.0000    38784.0000     4420.0000     4299.0000   155347.0000   192391.5000   189167.0000   182689.0000   191808.0000   213919.2500   208271.2500   202564.7500    16305.2500        1.0000
   13467.25023    24457.2500    11481.0000     3795.0000    38906.0000     4507.0000     4327.0000   154772.0000   192459.5000   189442.0000   182779.0000   191200.0000   214163.2500   208614.2500   202674.7500    16295.2500        1.0000
   13467.50321    24437.2500    11473.0000     3846.0000    38564.0000     4371.0000     4418.0000   155200.0000   192571.5000   189145.0000   182444.0000   191701.0000   214296.2500   208232.2500   202653.7500    16255.2500        1.0000
   13467.74953    24525.2500    11514.0000     3832.0000    38890.0000     4701.0000     4671.0000   155205.0000   193588.5000   190340.0000   183633.0000   191612.0000   215217.2500   209611.2500   203935.7500    16277.2500        1.0000
   13468.00251    24547.2500    11525.0000     4067.0000    38890.0000     4799.0000     4726.0000   155444.0000   193672.5000   190024.0000   183446.0000   191989.0000   215479.2500   209051.2500   203527.7500    16255.2500        1.0000
   13468.24883    24560.2500    11533.0000     4138.0000    39035.0000     5041.0000     4878.0000   155908.0000   193668.5000   190582.0000   183822.0000   192786.0000   215623.2500   210094.2500   204410.7500    16216.2500        1.0000
   13468.50182    24552.2500    11528.0000     4332.0000    38904.0000     5196.0000     5125.0000   155984.0000   193892.5000   189920.0000   184240.0000   192643.0000   215715.2500   209036.2500   204889.7500    16153.2500        1.0000
   13468.74814    24547.2500    11527.0000     4306.0000    38869.0000     5354.0000     5164.0000   155579.0000   193404.5000   190916.0000   183664.0000   192245.0000   215227.2500   210068.2500   204025.7500    16102.2500        1.0000
   13469.00113    24544.2500    11523.0000     4499.0000    38715.0000     5510.0000     5251.0000   156341.0000   193525.5000   190530.0000   184311.0000   193628.0000   215503.2500   209579.2500   204501.7500    16053.2500        1.0000
   13469.24746    24539.2500    11521.0000     4631.0000    38979.0000     5903.0000     5683.0000   155932.0000   195064.5000   191649.0000   183685.0000   192784.0000   217093.2500   210893.2500   204179.7500    15968.2500        1.0000
   13469.50044    24541.2500    11521.0000     4945.0000    38937.0000     6267.0000     6061.0000   156921.0000   194002.5000   191043.0000   184787.0000   194197.0000   216042.2500   210600.2500   205694.7500    15896.2500        1.0000
   13469.74678    24536.2500    11520.0000     5238.0000    38914.0000     6488.0000     6160.0000   156853.0000   194335.5000   191692.0000   184687.0000   194440.0000   216634.2500   211273.2500   205307.7500    15814.2500        1.0000
   13469.99976    24520.2500    11510.0000     5417.0000    39294.0000     7158.0000     6794.0000   156735.0000   194764.5000   191981.0000   185308.0000   193922.0000   216703.2500   211576.2500   206040.7500    15666.2500        1.0000
   13470.25276    24489.2500    11496.0000     5797.0000    39351.0000     7757.0000     7238.0000   156698.0000   194923.5000   193102.0000   185418.0000   194575.0000   217221.2500   212803.2500   206162.7500    15498.2500        1.0000
   13470.49909    24523.2500    11511.0000     6189.0000    39307.0000     8481.0000     7903.0000   156868.0000   195388.5000   193395.0000   185862.0000   194742.0000   217934.2500   213430.2500   206678.7500    15360.2500        1.0000
   13470.75208    24474.2500    11486.0000     6690.0000    39426.0000     9267.0000     8623.0000   157772.0000   196476.5000   194435.0000   187259.0000   196066.0000   219225.2500   214812.2500   208548.7500    15104.2500        1.0000
   13470.99842    24518.2500    11506.0000     7406.0000    39461.0000    10638.0000     9654.0000   158793.0000   197687.5000   195149.0000   188388.0000   197268.0000   220746.2500   215655.2500   210023.7500    14815.2500        1.0000
   13471.25141    24532.2500    11511.0000     8268.0000    39819.0000    11854.0000    10522.0000   159165.0000   198451.5000   196663.0000   189269.0000   198319.0000   221461.2500   217591.2500   211165.7500    14516.2500        1.0000
   13471.49775    24531.2500    11509.0000     8823.0000    39766.0000    12645.0000    11696.0000   158995.0000   199298.5000   197739.0000   190802.0000   198679.0000   222747.2500   218788.2500   213077.7500    14163.2500        1.0000
   13471.75075    24522.2500    11502.0000     9422.0000    40197.0000    13892.0000    12254.0000   159847.0000   200506.5000   198643.0000   190465.0000   199754.0000   224382.2500   219994.2500   212901.7500    13875.2500        1.0000
   13471.99709    24519.2500    11498.0000     9903.0000    39987.0000    14720.0000    13286.0000   161178.0000   200522.5000   199809.0000   191645.0000   201003.0000   224464.2500   221154.2500   214319.7500    13456.2500        1.0000
   13472.25009    24522.2500    11500.0000    10238.0000    39840.0000    15306.0000    13644.0000   160830.0000   200992.5000   200180.0000   192198.0000   201144.0000   224770.2500   222028.2500   214900.7500    13160.2500        1.0000
   13472.50309    24519.2500    11501.0000    10376.0000    40088.0000    15691.0000    13761.0000   160953.0000   201272.5000   200417.0000   192316.0000   201003.0000   225341.2500   222042.2500   214984.7500    12938.2500        1.0000
