XDAC V1.4 Datafile V1
"cu_kmdg1.020" created on 6/22/2012 at 5:46:29 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 8979.00
NUM_REGIONS= 4
SRB= -200 -30 30 60 13k
SRSS= 10 0.5 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 115.00 54.25 0.00 0.00 0.00 0.00 10.50 5.25 5.25 5.25 12.25 10.75 5.25 10.50 98.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 0.00 8.00 8.00 8.00 10.00 1.00
Green glass KMDG1


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    8995.00257     4680.0000        2.7500    82876.0000    73335.0000    58443.0000    69707.0000   171364.5000   154537.7500   122995.7500   143016.7500   188038.7500   167422.2500   130394.7500   154130.5000        1.0000        1.0000
    8995.49812     4694.0000        3.7500    85700.0000    75262.0000    60399.0000    71965.0000   173997.5000   157086.7500   125593.7500   145800.7500   191188.7500   170333.2500   133446.7500   157397.5000        2.0000        1.0000
    8995.99931     4683.0000        2.7500    87010.0000    76051.0000    61221.0000    72605.0000   174580.5000   157673.7500   126082.7500   146240.7500   192024.7500   171135.2500   133876.7500   157943.5000        2.0000        1.0000
    8996.50052     4671.0000        3.7500    87580.0000    76190.0000    61640.0000    73831.0000   175754.5000   157340.7500   127014.7500   147314.7500   193413.7500   170681.2500   134674.7500   159101.5000        1.0000        1.0000
    8997.00175     4684.0000        2.7500    87726.0000    77263.0000    62025.0000    73890.0000   176375.5000   159106.7500   127390.7500   147863.7500   194152.7500   172716.2500   135398.7500   159443.5000        2.0000        1.0000
    8997.49737     4667.0000        2.7500    87658.0000    76528.0000    61655.0000    73211.0000   175689.5000   157830.7500   126946.7500   146928.7500   193463.7500   171292.2500   134867.7500   158493.5000        1.0000        1.0000
    8997.99863     4674.0000        2.7500    87551.0000    77094.0000    61670.0000    73204.0000   176036.5000   158518.7500   126725.7500   147184.7500   193320.7500   172211.2500   134631.7500   158916.5000        1.0000        1.0000
    8998.49991     4662.0000        3.7500    87567.0000    76470.0000    61709.0000    73440.0000   175759.5000   157805.7500   126798.7500   147086.7500   193491.7500   171148.2500   134637.7500   158739.5000        1.0000        1.0000
    8999.00121     4635.0000        3.7500    86773.0000    76163.0000    61132.0000    72808.0000   175114.5000   157042.7500   125760.7500   145962.7500   192320.7500   170247.2500   133560.7500   157384.5000        1.0000        1.0000
    8999.50253     4565.0000        2.7500    85708.0000    74606.0000    60330.0000    71484.0000   172358.5000   154947.7500   124369.7500   143485.7500   189248.7500   167686.2500   131843.7500   154479.5000        1.0000        1.0000
